RN  IntegInt  Error  BG
-80.6 0.00037943985000000004  2.2554359149084812e-05  0.0 234702.4289
-80.5 0.00027260840000000017  1.8827890579582798e-05  0.0 233574.0749
-80.4 0.0001969252363636364  1.5993521992551208e-05  0.0 235940.9917
-80.3 0.00014530313636363637  1.3855047257368129e-05  0.0 234083.6691
-80.2 0.00015034812272727278  1.4223811098459807e-05  0.0 235026.9681
-80.1 0.00019189207727272732  1.5989099118306582e-05  0.0 235043.799
-80 0.00016639356363636366  1.500464307199729e-05  0.0 234992.4908
-79.9 0.00015037169090909095  1.4082395783765889e-05  0.0 234740.158
-79.8 0.0001975017590909091  1.6403906566227116e-05  0.0 234844.0378
-79.7  0.00019135322727272737  1.611866213134059e-05  0.0 234671.5586
-79.6  0.00021842565909090914  1.7414789100429537e-05  0. 234640.63480
-79.5  0.00025060824090909094  1.860858230917317e-05  0.0 234516.0124
-79.4  0.0002846495318181819  1.9835801089412805e-05  0.0 233515.3153
-79.3  0.00027651658181818183  1.934268138755398e-05  0.0 234774.486
-79.2  0.00029833282272727287  1.999096539662902e-05  0.0 234763.7002
-79.1  0.00019027474090909098  1.613345602234391e-05  0.0 235016.3605
-79  0.00021713921363636368  1.708893228012955e-05  0.0 234852.5644
-78.9  0.00012648005000000007  1.2821865456023119e-05  0. 227901.13770
-78.8  0.00017451473636363642  1.5372902043914618e-05  0. 234655.02010
-78.7  0.00019065281363636366  1.5936506445041118e-05  0. 234547.11470
-81.4  7.754798181818182e-05  1.0184902823715077e-05  1.5 121665.1057
-81.2 0.00014076111363636368  1.3997854002591913e-05  1.5 120849.4101
-81    0.00025576405000000014  1.8966623236272077e-05  1. 120373.56965
-80.8  0.0003074469772727273  2.073580062607655e-05  1.5 121685.468
-80.6 0.0002050423318181818  1.654571052826338e-05  1.5 121609.6986


 
